video_name,link,thumbnail_link,duration,views,upload_date,likes,comments
What Is Technical Scripter? Content Writing Event by GeeksforGeeks,https://www.youtube.com/watch?v=qvaofiGA8-s,https://i.ytimg.com/vi/qvaofiGA8-s/hqdefault.jpg,122.0,1520,N/A,N/A,N/A
DSA In Java | Heap 01 | Java in One Shot | Heap in Java,https://www.youtube.com/watch?v=i8X7cLJXsro,https://i.ytimg.com/vi/i8X7cLJXsro/hqdefault.jpg,9867.0,11664,N/A,N/A,N/A
Winter Training  with IBM Certification + New Kolkata GfG Centre Announcement,https://www.youtube.com/watch?v=1OMLZOU2kO4,https://i.ytimg.com/vi/1OMLZOU2kO4/hqdefault.jpg,226.0,1465,N/A,N/A,N/A
Get a Job as a Data Analyst Before 2026 Starts | Complete Roadmap,https://www.youtube.com/watch?v=ZJbcFh1p9XQ,https://i.ytimg.com/vi/ZJbcFh1p9XQ/hqdefault.jpg,2534.0,7061,N/A,N/A,N/A
How to Prepare for Google SDE? Complete Roadmap & Strategy,https://www.youtube.com/watch?v=P6DUaCduOJs,https://i.ytimg.com/vi/P6DUaCduOJs/hqdefault.jpg,408.0,9246,N/A,N/A,N/A
Big Update Free Courses Ending Soon? | GfG National Skill Up,https://www.youtube.com/watch?v=1Rf7TX8DVrs,https://i.ytimg.com/vi/1Rf7TX8DVrs/hqdefault.jpg,140.0,25764,N/A,N/A,N/A
How AI Will Change the Future of Coding? | Must-Watch,https://www.youtube.com/watch?v=BllT333UxSM,https://i.ytimg.com/vi/BllT333UxSM/hqdefault.jpg,406.0,1786,N/A,N/A,N/A
DSA In Java | Binary Search Tree 02 | Java in One Shot | Binary Search Tree in Java,https://www.youtube.com/watch?v=Cc4z3N33KFc,https://i.ytimg.com/vi/Cc4z3N33KFc/hqdefault.jpg,13391.0,5770,N/A,N/A,N/A
React Hacked: Understanding the React2Shell Vulnerability Explained,https://www.youtube.com/watch?v=_mzp1oCDn6M,https://i.ytimg.com/vi/_mzp1oCDn6M/hqdefault.jpg,233.0,11361,N/A,N/A,N/A
DSA In Java | Binary Search Tree 01 | Java in One Shot | Binary Search Tree in Java,https://www.youtube.com/watch?v=lDAGfNUrzRQ,https://i.ytimg.com/vi/lDAGfNUrzRQ/hqdefault.jpg,9831.0,7249,N/A,N/A,N/A
India Most Affordable NIMCET Test Series | NIMCET 2026 Test Series | NIMCET 2026 Preparation,https://www.youtube.com/watch?v=Vso3l9IS_J0,https://i.ytimg.com/vi/Vso3l9IS_J0/hqdefault.jpg,294.0,2350,N/A,N/A,N/A
AI Chips in Space by 2027? !  Google’s Crazy Plan Explained!,https://www.youtube.com/watch?v=6xVqnYQbukg,https://i.ytimg.com/vi/6xVqnYQbukg/hqdefault.jpg,314.0,1309,N/A,N/A,N/A
DSA In Java | Binary Tree 02 | Java in One Shot | Binary in Java,https://www.youtube.com/watch?v=_BkqFXyKt2E,https://i.ytimg.com/vi/_BkqFXyKt2E/hqdefault.jpg,18432.0,11712,N/A,N/A,N/A
DSA Roadmap | How To Learn DSA | DSA Placement Preparation | DSA Placement Course,https://www.youtube.com/watch?v=gVjV8MQqt1I,https://i.ytimg.com/vi/gVjV8MQqt1I/hqdefault.jpg,439.0,6899,N/A,N/A,N/A
Let’s Try Google Antigravity | How Google Antigravity Works?,https://www.youtube.com/watch?v=Mz_epTVBIRE,https://i.ytimg.com/vi/Mz_epTVBIRE/hqdefault.jpg,493.0,5112,N/A,N/A,N/A
How to Crack Infosys Specialist Programmer Interview 2026 | 21LPA+ for FRESHERS!,https://www.youtube.com/watch?v=pGtOywgTsLQ,https://i.ytimg.com/vi/pGtOywgTsLQ/hqdefault.jpg,325.0,68459,N/A,N/A,N/A
What Is SQL? | Learn Basic SQL In 10 Minutes,https://www.youtube.com/watch?v=TCDPG3cWVL8,https://i.ytimg.com/vi/TCDPG3cWVL8/hqdefault.jpg,655.0,2846,N/A,N/A,N/A
DSA In Java | Binary Tree 01 | Java in One Shot | Binary in Java,https://www.youtube.com/watch?v=xpyAAGIezVA,https://i.ytimg.com/vi/xpyAAGIezVA/hqdefault.jpg,18680.0,21843,N/A,N/A,N/A
Lost in 2nd & 3rd Year? Watch This Before It Gets Worse,https://www.youtube.com/watch?v=JcWqS-ikDjM,https://i.ytimg.com/vi/JcWqS-ikDjM/hqdefault.jpg,413.0,39045,N/A,N/A,N/A
Tech Skills to Learn in 2026 | GfG Black Friday Surprise | ULTIMATE Career Upskilling Roadmap,https://www.youtube.com/watch?v=UxBsPMIYHvU,https://i.ytimg.com/vi/UxBsPMIYHvU/hqdefault.jpg,206.0,3012,N/A,N/A,N/A
